Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,61.1,0.0,21374.0,132.508,3420446667,64.43743944168091
2,0.0,61.2,0.0,21374.0,145.00400000000002,3420462625,4.92731237411499
3,0.0,61.4,0.0,21374.0,146.429,3420478609,4.847698926925659
4,0.0,61.4,0.0,21374.0,146.014,3420494455,4.959686040878296
5,0.1,61.2,0.0,21374.0,146.06900000000002,3420510271,5.02734375
6,0.0,61.3,0.0,21374.0,146.637,3420526453,4.9877049922943115
7,0.0,61.4,0.0,21374.0,145.703,3420542269,4.9011876583099365
8,0.0,61.4,0.0,21374.0,146.622,3420558611,4.914826154708862
9,0.0,61.4,0.0,21374.0,146.825,3420575519,4.88101601600647
10,0.0,61.4,0.0,21374.0,147.222,3420601753,4.900448560714722
11,0.1,61.4,0.0,21374.0,147.63400000000001,3420617701,4.923013687133789
12,0.0,61.4,0.0,21374.0,146.744,3420633405,4.942764759063721
13,0.0,60.4,0.0,21374.0,147.80599999999998,3420649729,4.886606216430664
14,0.4,60.6,0.0,21374.0,148.45999999999998,3420665787,4.830193996429443
15,0.1,60.8,0.0,21374.0,147.982,3420682845,4.853142738342285
16,0.0,61.0,0.0,21374.0,146.652,3420700511,4.987046003341675
17,0.0,61.2,0.0,21374.0,148.302,3420716851,4.882308483123779
18,0.1,61.2,0.0,21374.0,147.697,3420740656,4.820013761520386
19,0.0,61.2,0.0,21374.0,146.82299999999998,3420756884,4.8936989307403564
20,0.0,61.3,0.0,21374.0,149.226,3420776778,4.861920118331909
