Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,33.5,0.0,21330.0,130.285,209662791,69.77546787261963
2,0.1,33.2,0.0,21330.0,135.594,209722301,14.93639326095581
3,0.0,32.9,0.0,21330.0,135.534,209781432,14.808372974395752
4,0.0,33.1,0.0,21330.0,138.346,209841097,14.702967882156372
5,0.0,33.0,0.0,21330.0,136.297,209900547,14.684017658233643
6,0.0,33.1,0.0,21330.0,135.74200000000002,209959497,14.884763717651367
7,0.0,33.1,0.0,21330.0,134.60500000000002,210018521,14.918676614761353
8,0.0,33.1,0.0,21330.0,135.764,210078487,14.831563949584961
9,0.0,33.2,0.0,21330.0,135.988,210137527,14.798834323883057
10,0.0,33.2,0.0,21330.0,135.928,210197266,14.948424577713013
11,0.0,33.2,0.0,21330.0,137.852,210255904,14.636568069458008
12,0.0,33.2,0.0,21330.0,137.532,210315799,14.632801532745361
13,0.0,33.3,0.0,21330.0,139.985,210378021,14.76968789100647
14,0.0,33.2,0.0,21330.0,137.78199999999998,210437557,14.83508825302124
15,0.1,33.0,0.0,21330.0,138.178,210496241,14.789127111434937
16,0.1,33.1,0.0,21330.0,137.413,210555874,14.96882963180542
17,0.1,33.1,0.0,21330.0,138.61700000000002,210614950,15.043238162994385
18,0.1,33.1,0.0,21330.0,139.463,210677112,14.861435413360596
19,0.0,33.2,0.0,21330.0,141.243,210736200,14.639447689056396
20,0.0,33.2,0.0,21330.0,136.125,210795469,14.873299598693848
