Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,35.3,0.0,21334.0,129.951,210878645,70.0609130859375
2,0.0,35.0,0.0,21334.0,136.08100000000002,210938133,14.615209579467773
3,0.5,34.9,0.0,21334.0,134.845,210996465,14.684347152709961
4,0.0,34.9,0.0,21334.0,138.705,211057598,14.642906188964844
5,0.0,34.9,0.0,21334.0,136.805,211119438,14.691613674163818
6,0.0,34.7,0.0,21334.0,136.124,211179256,14.63236117362976
7,0.0,34.8,0.0,21334.0,136.87,211238250,14.85916805267334
8,0.0,34.8,0.0,21334.0,138.629,211296782,14.675991535186768
9,0.0,34.9,0.0,21334.0,137.054,211355668,14.709415435791016
10,0.0,34.9,0.0,21334.0,139.93200000000002,211415228,14.523221254348755
11,0.0,34.9,0.0,21334.0,141.53300000000002,211474070,14.75958514213562
12,0.0,35.0,0.0,21334.0,139.888,211532975,14.60424256324768
13,0.0,35.0,0.0,21334.0,136.882,211602301,14.628089666366577
14,0.0,35.0,0.0,21334.0,138.43200000000002,211661875,14.642405271530151
15,0.0,35.0,0.0,21334.0,139.491,211723641,14.637474298477173
16,0.0,35.0,0.0,21334.0,137.682,211794674,14.720866918563843
17,0.0,35.0,0.0,21334.0,142.585,211855046,14.627047061920166
18,0.0,35.0,0.0,21334.0,137.786,211914338,14.512314558029175
19,0.0,34.7,0.0,21334.0,138.469,211972970,14.63344669342041
20,0.0,34.7,0.0,21334.0,137.23399999999998,212049604,14.639703035354614
21,0.0,34.8,0.0,21334.0,139.273,212109761,14.718045473098755
22,0.0,34.8,0.0,21334.0,139.07,212169389,14.806006908416748
23,0.0,34.8,0.0,21334.0,138.934,212228327,14.591931581497192
24,0.0,34.9,0.0,21334.0,138.644,212286957,14.562149047851562
25,0.1,34.9,0.0,21334.0,139.801,212346199,14.457913637161255
26,0.0,34.9,0.0,21334.0,139.083,212406077,14.511308193206787
27,0.1,35.0,0.0,21334.0,137.821,212464511,14.528258562088013
28,0.0,34.9,0.0,21334.0,138.977,212524301,14.73038649559021
29,0.0,35.0,0.0,21334.0,138.8,212583806,14.556929349899292
30,0.0,35.0,0.0,21334.0,140.1,212643272,14.637428998947144
