Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,68.0,0.0,21384.0,131.679,3421906926,62.92174434661865
2,0.0,68.4,0.0,21384.0,145.8,3421932860,4.856672763824463
3,0.0,68.3,0.0,21384.0,146.632,3421948670,4.877540111541748
4,0.1,68.3,0.0,21384.0,146.269,3421964618,4.880490303039551
5,0.1,68.3,0.0,21384.0,146.858,3421981008,4.847230434417725
6,0.0,68.3,0.0,21384.0,147.371,3421997740,4.798088073730469
7,0.1,68.4,0.0,21384.0,146.471,3422015220,4.902863502502441
8,0.0,68.4,0.0,21384.0,146.497,3422032766,4.878824472427368
9,0.0,68.4,0.0,21384.0,147.491,3422048742,4.82522439956665
10,0.0,68.4,0.0,21384.0,148.523,3422073317,4.905214786529541
11,0.0,68.5,0.0,21384.0,147.154,3422089251,4.817935228347778
12,0.0,68.5,0.0,21384.0,147.135,3422108517,4.830134391784668
13,0.0,68.5,0.0,21384.0,148.663,3422125955,4.83524227142334
14,0.0,67.4,0.0,21384.0,148.532,3422141835,4.8618483543396
15,0.0,67.7,0.0,21384.0,148.955,3422158855,4.783600091934204
16,0.0,67.9,0.0,21384.0,148.327,3422174889,4.768644094467163
17,0.1,68.0,0.0,21384.0,148.029,3422191177,4.890547037124634
18,0.1,68.1,0.0,21384.0,150.664,3422207195,4.793232679367065
19,0.0,68.1,0.0,21384.0,149.77100000000002,3422223423,4.786025762557983
20,0.0,68.0,0.0,21384.0,147.637,3422239119,4.885404109954834
21,0.0,68.0,0.0,21384.0,148.017,3422254875,4.765135288238525
22,0.0,68.2,0.0,21384.0,148.419,3422271168,4.8584136962890625
23,0.0,68.2,0.0,21384.0,149.46,3422287212,4.8045971393585205
24,0.1,68.4,0.0,21384.0,148.037,3422303302,4.801944017410278
25,0.0,68.5,0.0,21384.0,149.901,3422319042,4.737944602966309
26,0.1,68.5,0.0,21384.0,149.49200000000002,3422335519,4.821242332458496
27,0.1,67.4,0.0,21384.0,149.351,3422351321,4.864523649215698
28,0.0,67.8,0.0,21384.0,149.339,3422366975,4.773944616317749
29,0.0,68.0,0.0,21384.0,148.352,3422383209,4.8611061573028564
30,0.0,68.1,0.0,21384.0,149.515,3422399593,4.832953929901123
