Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,64.5,0.0,21380.0,133.257,3421355175,64.91949439048767
2,0.0,64.7,0.0,21380.0,147.72,3421376507,4.852757930755615
3,0.0,64.9,0.0,21380.0,147.288,3421392693,4.82542085647583
4,0.0,64.9,0.0,21380.0,146.925,3421409237,4.89165997505188
5,0.0,64.8,0.0,21380.0,148.03,3421425421,4.895059585571289
6,0.0,64.8,0.0,21380.0,148.214,3421441883,4.780496597290039
7,0.0,64.8,0.0,21380.0,148.194,3421458444,4.854730129241943
8,0.1,64.9,0.0,21380.0,148.755,3421474452,4.78651762008667
9,0.0,65.0,0.0,21380.0,147.269,3421490406,4.695170640945435
10,0.0,64.1,0.0,21380.0,149.162,3421506416,4.776061296463013
