Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.1,43.1,0.0,21346.0,133.429,214634497,65.53334712982178
2,0.0,43.1,0.0,21346.0,144.522,214665623,8.318500280380249
3,0.0,43.0,0.0,21346.0,145.53,214709729,8.276985168457031
4,0.0,43.0,0.0,21346.0,144.894,214744764,8.129404306411743
5,0.1,43.0,0.0,21346.0,144.9,214777421,8.14944076538086
6,0.0,43.0,0.0,21346.0,145.265,214809807,8.175878286361694
7,0.0,43.0,0.0,21346.0,146.87900000000002,214842075,8.274847745895386
8,0.0,43.1,0.0,21346.0,146.195,214873541,8.221478462219238
9,0.0,42.6,0.0,21346.0,146.378,214905507,8.108283519744873
10,0.1,42.6,0.0,21346.0,143.554,214938179,8.255709171295166
