Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,48.2,0.0,21352.0,131.12,216616815,66.6826479434967
2,0.0,48.1,0.0,21352.0,145.48700000000002,216649859,8.241015434265137
3,0.1,48.1,0.0,21352.0,146.312,216681877,8.130010843276978
4,0.0,48.3,0.0,21352.0,143.85,216711957,8.108518362045288
5,0.1,48.2,0.0,21352.0,144.986,216746719,7.969609975814819
6,0.0,47.7,0.0,21352.0,143.901,216777327,8.052810907363892
7,0.0,47.9,0.0,21352.0,143.519,216806973,7.984726667404175
8,0.1,47.9,0.0,21352.0,145.05,216837059,8.040557622909546
9,0.0,48.1,0.0,21352.0,144.397,216869391,8.036279201507568
10,0.0,48.3,0.0,21352.0,144.91899999999998,216900047,8.09519076347351
