Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,26.6,0.0,21318.0,130.3,205325868,70.30816769599915
2,0.0,26.3,0.0,21318.0,137.242,205386964,14.668117761611938
3,0.0,26.2,0.0,21318.0,135.223,205455447,14.809407234191895
4,0.1,26.3,0.0,21318.0,139.098,205518925,14.404952049255371
5,0.0,26.0,0.0,21318.0,136.19299999999998,205579247,14.706955432891846
6,0.0,26.1,0.0,21318.0,137.18,205638779,14.546162843704224
7,0.0,26.1,0.0,21318.0,139.648,205698123,14.37916350364685
8,0.0,26.2,0.0,21318.0,140.661,205758124,14.461111545562744
9,0.0,26.1,0.0,21318.0,141.128,205817679,14.597570896148682
10,0.1,26.1,0.0,21318.0,140.296,205876853,14.502901077270508
