Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.1,51.5,0.0,21358.0,132.031,217634693,67.16882538795471
2,0.1,51.6,0.0,21358.0,145.423,217664917,8.082161664962769
3,0.0,51.5,0.0,21358.0,144.827,217696663,8.190895318984985
4,0.0,51.4,0.0,21358.0,145.24,217726735,8.285137414932251
5,0.0,51.5,0.0,21358.0,144.74200000000002,217757551,8.176955223083496
6,0.0,51.5,0.0,21358.0,144.41,217787663,8.132415056228638
7,0.0,51.5,0.0,21358.0,144.711,217818207,8.073624610900879
8,0.1,51.6,0.0,21358.0,145.53300000000002,217848355,8.200692653656006
9,0.0,51.7,0.0,21358.0,147.953,217879769,8.24901819229126
10,0.0,51.0,0.0,21358.0,144.103,217910719,8.230247974395752
11,0.0,51.3,0.0,21358.0,146.284,217942249,8.12475872039795
12,0.0,51.4,0.0,21358.0,146.75900000000001,217975203,8.11135458946228
13,0.0,51.4,0.0,21358.0,146.683,218005235,8.161641836166382
14,0.0,51.4,0.0,21358.0,148.31799999999998,218035852,8.297411680221558
15,0.0,51.6,0.0,21358.0,146.871,218066589,8.203636407852173
16,0.0,51.6,0.0,21358.0,146.89,218097271,8.18475866317749
17,0.0,51.6,0.0,21358.0,145.379,218128499,8.237850666046143
18,0.1,51.7,0.0,21358.0,144.814,218159291,8.171704769134521
19,0.0,51.7,0.0,21358.0,146.485,218189783,8.146157026290894
20,0.1,51.8,0.0,21358.0,145.70600000000002,218220663,8.129786491394043
21,0.2,51.8,0.0,21358.0,146.901,218251607,7.96151065826416
22,0.1,50.9,0.0,21358.0,146.59300000000002,218283545,8.182844161987305
23,0.0,51.2,0.0,21358.0,146.602,218313853,8.173136949539185
24,0.1,51.3,0.0,21358.0,146.594,218344893,8.170770645141602
25,0.0,51.5,0.0,21358.0,146.492,218375269,8.063267707824707
26,0.0,51.5,0.0,21358.0,146.501,218405557,8.230437517166138
27,0.0,51.6,0.0,21358.0,147.221,218446837,8.089001893997192
28,0.0,51.6,0.0,21358.0,146.385,218480245,8.074765920639038
29,0.1,51.7,0.0,21358.0,146.995,218511687,8.199153423309326
30,2.4,51.8,0.0,21358.0,147.06,218542117,8.206789255142212
