Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,17.9,0.0,21312.0,137.409,201595023,75.15558052062988
2,0.0,17.7,0.0,21312.0,133.034,201654179,14.777071237564087
3,0.0,17.7,0.0,21312.0,132.23399999999998,201712979,14.674018859863281
4,0.0,17.9,0.0,21312.0,135.575,201772239,14.491955041885376
5,0.0,18.0,0.0,21312.0,137.049,201846484,14.537711381912231
6,0.0,18.1,0.0,21312.0,139.938,201905472,14.603014945983887
7,0.0,18.2,0.0,21312.0,136.839,201966209,14.69310712814331
8,0.0,18.2,0.0,21312.0,136.07600000000002,202025403,14.555553674697876
9,0.0,18.2,0.0,21312.0,136.696,202084183,14.611074447631836
10,0.0,18.0,0.0,21312.0,136.554,202142777,14.517490863800049
