Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,24.3,0.0,21316.0,130.228,203479430,68.98172402381897
2,0.0,24.0,0.0,21316.0,137.754,203538835,14.702584028244019
3,0.0,24.0,0.0,21316.0,137.569,203597781,14.727706909179688
4,0.1,24.0,0.0,21316.0,134.539,203657111,14.833104372024536
5,0.0,24.0,0.0,21316.0,138.862,203715921,14.84035038948059
6,0.0,24.1,0.0,21316.0,133.27100000000002,203775697,14.73253846168518
7,0.0,24.1,0.0,21316.0,138.196,203834665,14.791155576705933
8,0.0,24.1,0.0,21316.0,135.579,203893818,14.587878465652466
9,0.1,24.1,0.0,21316.0,138.102,203952344,14.885344982147217
10,0.0,24.1,0.0,21316.0,138.56900000000002,204012177,14.693968296051025
11,0.0,24.1,0.0,21316.0,139.774,204071973,14.88675308227539
12,0.0,23.8,0.0,21316.0,137.586,204130969,14.770211935043335
13,0.0,23.9,0.0,21316.0,138.096,204189583,14.598681449890137
14,0.0,23.9,0.0,21316.0,138.06900000000002,204248895,14.830219030380249
15,0.0,23.9,0.0,21316.0,138.778,204308598,14.98945665359497
16,0.1,24.0,0.0,21316.0,140.071,204370528,14.663352727890015
17,0.1,24.0,0.0,21316.0,138.406,204430122,14.646538496017456
18,0.0,24.0,0.0,21316.0,139.09300000000002,204490453,14.809372425079346
19,0.0,24.1,0.0,21316.0,139.02100000000002,204549113,14.590181589126587
20,2.0,24.3,0.0,21316.0,139.677,204608875,14.823962926864624
21,0.1,24.2,0.0,21316.0,140.284,204667984,14.517374753952026
22,0.1,24.2,0.0,21316.0,140.558,204726964,14.505520105361938
23,0.2,24.2,0.0,21316.0,140.122,204786922,14.66821813583374
24,0.0,24.2,0.0,21316.0,139.20999999999998,204850546,14.661592960357666
25,0.0,24.0,0.0,21316.0,138.125,204921856,14.993079900741577
26,0.0,24.1,0.0,21316.0,138.841,204990257,14.560047388076782
27,0.0,24.1,0.0,21316.0,139.24099999999999,205051419,14.639674663543701
28,0.0,24.2,0.0,21316.0,138.877,205111934,14.749336957931519
29,0.0,24.2,0.0,21316.0,138.247,205170578,14.756935358047485
30,0.0,24.2,0.0,21316.0,136.11200000000002,205229298,14.642780065536499
