Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.1,50.0,0.0,21356.0,129.969,216967757,65.8651328086853
2,10.3,49.7,0.0,21356.0,142.671,217001025,8.10885238647461
3,0.1,49.9,0.0,21356.0,143.312,217031079,8.396246671676636
4,6.3,49.9,0.0,21356.0,142.301,217068878,8.179940938949585
5,1.1,49.9,0.0,21356.0,143.645,217103564,8.288397073745728
6,0.0,49.9,0.0,21356.0,144.043,217133656,8.193181991577148
7,0.1,49.5,0.0,21356.0,145.257,217165492,8.13385009765625
8,0.0,49.6,0.0,21356.0,147.40800000000002,217195676,8.171908378601074
9,0.1,49.7,0.0,21356.0,143.755,217226692,8.143096923828125
10,0.0,49.8,0.0,21356.0,144.144,217257670,8.122076272964478
11,0.2,49.8,0.0,21356.0,145.881,217287576,8.001458644866943
12,0.1,49.8,0.0,21356.0,146.87,217317862,8.12704610824585
13,0.0,49.8,0.0,21356.0,147.962,217349646,8.1756911277771
14,0.0,49.9,0.0,21356.0,145.25,217379788,8.139399766921997
15,0.0,49.9,0.0,21356.0,146.272,217410690,8.230063676834106
16,0.0,50.0,0.0,21356.0,145.886,217440844,8.264601945877075
17,0.4,50.0,0.0,21356.0,144.905,217470902,8.141025066375732
18,0.0,50.0,0.0,21356.0,148.75,217501128,8.13405704498291
19,0.0,49.2,0.0,21356.0,146.20100000000002,217530788,8.069046974182129
20,0.0,49.4,0.0,21356.0,146.298,217562816,8.003496646881104
