Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,28.4,0.0,21322.0,130.848,205959368,70.81755018234253
2,0.0,28.1,0.0,21322.0,137.699,206018014,14.60642147064209
3,0.0,28.0,0.0,21322.0,137.04500000000002,206077567,14.4664306640625
4,0.0,28.0,0.0,21322.0,136.663,206137017,14.786092281341553
5,0.1,28.0,0.0,21322.0,137.735,206195635,14.652229070663452
6,0.0,27.7,0.0,21322.0,137.603,206254033,14.687394618988037
7,0.0,27.8,0.0,21322.0,138.58,206313025,14.61258339881897
8,0.0,27.9,0.0,21322.0,137.459,206372428,14.696245431900024
9,0.0,27.9,0.0,21322.0,140.399,206434500,14.49374270439148
10,0.0,27.9,0.0,21322.0,139.638,206493260,14.855594396591187
11,0.0,27.9,0.0,21322.0,137.783,206552525,14.648125410079956
12,0.0,28.0,0.0,21322.0,133.836,206614225,14.756966352462769
13,0.2,27.9,0.0,21322.0,139.647,206673233,14.534704446792603
14,0.1,28.0,0.0,21322.0,139.607,206732364,14.55477261543274
15,0.0,28.0,0.0,21322.0,136.62099999999998,206791210,14.79692792892456
16,0.1,28.0,0.0,21322.0,138.505,206850010,14.666977167129517
17,0.0,28.0,0.0,21322.0,137.216,206909150,14.705011367797852
18,0.0,28.0,0.0,21322.0,139.511,206973272,14.68277907371521
19,0.0,27.8,0.0,21322.0,140.383,207032367,14.669150829315186
20,0.0,27.9,0.0,21322.0,138.985,207091877,14.758387327194214
