Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,37.2,0.0,21336.0,144.976,212700074,66.12042951583862
2,0.0,37.1,0.0,21336.0,146.084,212731894,8.112685918807983
3,0.0,37.0,0.0,21336.0,144.624,212761836,8.173412084579468
4,0.2,37.1,0.0,21336.0,145.13400000000001,212791480,8.312343120574951
5,0.0,37.1,0.0,21336.0,146.664,212822043,8.237410545349121
6,0.0,37.1,0.0,21336.0,145.316,212852369,8.215298414230347
7,0.2,37.2,0.0,21336.0,145.91,212882587,8.135125160217285
8,0.1,37.2,0.0,21336.0,145.673,212912563,8.263805627822876
9,0.0,37.2,0.0,21336.0,146.581,212942487,8.268474817276001
10,0.0,37.3,0.0,21336.0,147.733,212972677,8.10932731628418
