Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,31.8,0.0,21328.0,130.851,209018552,70.07445287704468
2,0.0,31.3,0.0,21328.0,136.887,209079747,14.729050874710083
3,0.0,31.4,0.0,21328.0,139.661,209139664,14.50286054611206
4,0.0,31.4,0.0,21328.0,137.954,209198718,14.51387333869934
5,0.0,31.5,0.0,21328.0,138.642,209257370,14.613991498947144
6,0.1,31.5,0.0,21328.0,138.613,209317004,14.398367404937744
7,0.1,31.6,0.0,21328.0,139.49,209376722,14.622100114822388
8,0.0,31.6,0.0,21328.0,138.796,209435348,14.548423528671265
9,0.0,31.6,0.0,21328.0,139.12,209494138,14.609567165374756
10,0.0,31.6,0.0,21328.0,135.939,209564514,14.706310033798218
