Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,62.9,0.0,21376.0,131.941,3420824594,63.45292067527771
2,0.0,63.0,0.0,21376.0,146.26999999999998,3420840800,4.810872316360474
3,0.0,63.2,0.0,21376.0,146.27700000000002,3420856868,4.904633283615112
4,0.0,62.4,0.0,21376.0,145.036,3420873528,4.876042604446411
5,0.0,62.7,0.0,21376.0,147.071,3420889354,4.787908315658569
6,0.0,62.8,0.0,21376.0,147.364,3420905224,4.841822862625122
7,0.1,62.9,0.0,21376.0,145.822,3420921026,4.9566497802734375
8,0.0,63.0,0.0,21376.0,148.01999999999998,3420937190,4.829377174377441
9,0.1,63.1,0.0,21376.0,148.015,3420953036,4.756387710571289
10,0.2,63.1,0.0,21376.0,148.34,3420968782,4.851362466812134
11,0.0,63.2,0.0,21376.0,150.279,3420984760,4.8522515296936035
12,0.0,63.1,0.0,21376.0,148.441,3421000808,4.869083404541016
13,0.0,63.1,0.0,21376.0,148.741,3421016564,4.822591543197632
14,0.0,63.2,0.0,21376.0,147.921,3421032366,4.992771148681641
15,0.0,63.2,0.0,21376.0,148.50400000000002,3421048268,4.848826169967651
16,0.0,62.3,0.0,21376.0,147.314,3421064322,4.976877212524414
17,0.0,62.7,0.0,21376.0,148.523,3421081053,4.93022346496582
18,0.0,63.0,0.0,21376.0,148.497,3421097401,4.995765686035156
19,0.0,63.2,0.0,21376.0,147.625,3421113471,4.87425971031189
20,0.0,63.2,0.0,21376.0,147.573,3421129953,4.962169885635376
21,0.0,63.2,0.0,21376.0,149.285,3421158295,4.915865898132324
22,0.0,63.2,0.0,21376.0,149.042,3421177681,4.892991065979004
23,0.0,63.2,0.0,21376.0,147.392,3421193561,4.938191175460815
24,0.0,63.3,0.0,21376.0,149.452,3421209257,4.855686187744141
25,0.0,63.4,0.0,21376.0,148.467,3421226164,4.839601993560791
26,0.0,63.4,0.0,21376.0,149.856,3421242750,4.742082118988037
27,0.0,63.6,0.0,21376.0,149.377,3421258596,4.864320755004883
28,0.0,63.6,0.0,21376.0,149.833,3421275120,4.857680082321167
29,0.0,62.2,0.0,21376.0,149.909,3421290664,4.842728137969971
30,0.0,62.5,0.0,21376.0,149.392,3421306838,4.835604667663574
