Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,81.6,0.0,21288.0,109.17,17738207,82.97584080696106
2,0.2,81.4,0.0,21288.0,129.96800000000002,17866904,25.48617720603943
3,0.0,81.5,0.0,21288.0,116.846,17988740,25.873616933822632
4,0.2,81.6,0.0,21288.0,131.382,18114517,25.44000220298767
5,0.0,81.7,0.0,21288.0,115.675,18239577,25.591180562973022
6,0.0,81.8,0.0,21288.0,131.62099999999998,18364584,25.601240634918213
7,0.0,81.3,0.0,21288.0,115.25,18485832,25.619951248168945
8,0.0,81.5,0.0,21288.0,131.83599999999998,18607900,25.412330627441406
9,0.0,81.7,0.0,21288.0,116.74699999999999,18728807,25.12752866744995
10,0.0,81.8,0.0,21288.0,132.185,18850658,25.135286331176758
11,0.0,81.9,0.0,21288.0,115.85900000000001,18971012,25.454538583755493
12,0.0,82.0,0.0,21288.0,132.251,19093070,25.491045713424683
13,0.0,82.1,0.0,21288.0,132.132,19216080,25.53683829307556
14,0.0,82.2,0.0,21288.0,116.985,19339334,25.368361949920654
15,0.0,82.3,0.0,21288.0,132.918,19461302,25.406837463378906
16,0.0,82.4,0.0,21288.0,116.71300000000001,19585370,25.204012155532837
17,0.0,82.5,0.0,21288.0,132.377,19707220,25.132096767425537
18,0.0,82.6,0.0,21288.0,115.434,19832478,25.733114004135132
19,0.0,81.9,0.0,21288.0,131.766,19953708,26.026442289352417
20,0.0,82.1,0.0,21288.0,115.41999999999999,20075650,25.431238889694214
