Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,92.3,0.0,21294.0,124.451,23991339,73.52200365066528
2,0.0,92.1,0.0,21294.0,128.668,24052534,13.728511810302734
3,0.0,92.4,0.0,21294.0,135.788,24114056,13.7563796043396
4,0.0,92.6,0.0,21294.0,133.061,24175289,13.433259725570679
5,0.2,92.9,0.0,21294.0,133.851,24236329,13.419409036636353
6,0.0,93.1,0.0,21294.0,135.565,24297377,13.401711225509644
7,0.0,92.2,0.0,21294.0,133.986,24357329,13.481788396835327
8,0.0,92.5,0.0,21294.0,131.196,24419147,13.404047966003418
9,0.0,92.8,0.0,21294.0,133.79,24480921,13.384863138198853
10,0.0,93.0,0.0,21294.0,135.185,24540915,13.411166667938232
