Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.2,55.9,0.0,21272.0,115.751,4786402,82.92061591148376
2,0.0,55.4,0.0,21272.0,130.335,4908364,24.98114252090454
3,0.0,55.5,0.0,21272.0,131.361,5035509,24.860949754714966
4,0.2,55.6,0.0,21272.0,115.128,5165859,25.32384181022644
5,0.2,55.7,0.0,21272.0,131.987,5589830,25.084815740585327
6,0.0,55.8,0.0,21272.0,115.789,5711610,25.563090562820435
7,0.0,55.9,0.0,21272.0,132.461,5833596,25.19316029548645
8,0.2,55.9,0.0,21272.0,132.274,5955747,25.166823387145996
9,0.2,56.0,0.0,21272.0,132.899,6077566,25.168010711669922
10,0.0,56.1,0.0,21272.0,131.981,6197640,24.96702289581299
11,0.0,56.3,0.0,21272.0,132.43900000000002,6323256,25.33376455307007
12,0.5,55.7,0.0,21272.0,132.029,6448088,25.043704986572266
13,0.0,55.8,0.0,21272.0,133.00900000000001,6569902,25.144011974334717
14,0.0,56.0,0.0,21272.0,132.852,6691394,25.141069889068604
15,0.5,56.1,0.0,21272.0,132.893,6811964,25.103246212005615
16,0.0,56.1,0.0,21272.0,133.026,6934714,25.142786741256714
17,0.0,56.3,0.0,21272.0,133.38299999999998,7056915,25.20358896255493
18,0.0,56.3,0.0,21272.0,133.196,7188522,25.367576599121094
19,0.0,56.4,0.0,21272.0,117.06700000000001,7320951,25.495988607406616
20,0.0,56.6,0.0,21272.0,133.085,7447465,25.73554491996765
21,0.0,56.7,0.0,21272.0,132.589,7576126,25.21545648574829
22,0.0,56.8,0.0,21272.0,132.642,7697587,25.064602613449097
23,0.0,56.8,0.0,21272.0,132.948,7820987,25.51700711250305
24,0.2,56.2,0.0,21272.0,132.981,7944907,25.033299446105957
25,0.2,56.2,0.0,21272.0,132.10399999999998,8065942,25.239659547805786
26,0.0,56.4,0.0,21272.0,132.837,8187780,25.122345685958862
27,0.2,56.5,0.0,21272.0,134.548,8308523,25.047036170959473
28,0.2,56.6,0.0,21272.0,118.545,8429951,25.383172512054443
29,0.0,56.7,0.0,21272.0,133.93,8551264,25.520353078842163
30,0.0,56.9,0.0,21272.0,133.19,8672412,24.739910125732422
