Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,71.4,0.0,21282.0,110.036,12656138,81.26875710487366
2,0.0,71.3,0.0,21282.0,130.00400000000002,12783307,25.22899627685547
3,0.0,71.5,0.0,21282.0,131.499,12905621,25.16715407371521
4,0.0,71.6,0.0,21282.0,115.785,13029839,25.31260895729065
5,0.0,71.6,0.0,21282.0,131.516,13167726,25.358794927597046
6,0.2,71.7,0.0,21282.0,116.13300000000001,13290866,25.566845417022705
7,0.0,71.8,0.0,21282.0,132.566,13415281,25.70702075958252
8,0.0,71.9,0.0,21282.0,111.089,13539698,27.19821310043335
9,0.0,71.3,0.0,21282.0,132.054,13661906,25.700788021087646
10,0.0,71.5,0.0,21282.0,116.712,13785608,25.585177183151245
11,0.0,71.6,0.0,21282.0,132.266,13908024,25.518168687820435
12,0.0,71.7,0.0,21282.0,119.208,14034070,25.572980403900146
13,0.0,71.8,0.0,21282.0,132.167,14156798,25.197346925735474
14,0.0,72.0,0.0,21282.0,118.949,14278854,25.70390248298645
15,0.0,72.0,0.0,21282.0,132.654,14400588,26.000247716903687
16,0.0,72.2,0.0,21282.0,132.632,14526540,25.68069314956665
17,0.0,72.3,0.0,21282.0,116.349,14648732,25.894232988357544
18,0.2,72.4,0.0,21282.0,133.138,14770364,25.408239364624023
19,0.0,72.5,0.0,21282.0,117.43699999999998,14892146,25.5884370803833
20,0.0,72.5,0.0,21282.0,132.166,15014971,25.58761954307556
21,0.0,71.7,0.0,21282.0,116.743,15145760,25.396050930023193
22,0.0,71.8,0.0,21282.0,132.926,15267094,25.547999620437622
23,0.0,71.9,0.0,21282.0,129.12099999999998,15401141,25.216381311416626
24,0.0,72.0,0.0,21282.0,132.808,15523268,25.82711410522461
25,0.0,72.1,0.0,21282.0,116.88999999999999,15648416,25.75189757347107
26,0.0,72.2,0.0,21282.0,132.73000000000002,15786685,25.683151483535767
27,0.0,72.3,0.0,21282.0,117.59200000000001,15912393,25.433317184448242
28,0.2,72.4,0.0,21282.0,132.183,16035212,25.676581382751465
29,0.0,72.6,0.0,21282.0,117.12,16157718,25.730467796325684
30,0.0,72.6,0.0,21282.0,131.606,16279893,25.94455051422119
