Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,76.8,0.0,21284.0,109.465,16443148,83.31534004211426
2,0.0,76.8,0.0,21284.0,130.673,16566764,25.789817094802856
3,0.0,76.9,0.0,21284.0,115.451,16691316,25.57486581802368
4,0.0,77.0,0.0,21284.0,130.051,16812504,25.77461290359497
5,0.0,77.1,0.0,21284.0,115.945,16932972,25.976427793502808
6,0.0,77.3,0.0,21284.0,131.124,17054302,25.68908929824829
7,0.0,77.3,0.0,21284.0,115.696,17195800,25.42588233947754
8,0.0,77.4,0.0,21284.0,131.862,17317384,25.6122145652771
9,0.0,77.5,0.0,21284.0,131.407,17439188,25.42722749710083
10,0.0,76.9,0.0,21284.0,117.525,17560134,25.63440227508545
