Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,86.2,0.0,21290.0,108.81,20243622,82.904794216156
2,0.0,86.3,0.0,21290.0,128.56,20373781,25.469367742538452
3,0.2,86.5,0.0,21290.0,128.55599999999998,20501868,24.998598337173462
4,0.0,86.6,0.0,21290.0,113.588,20640514,25.513946533203125
5,0.0,86.7,0.0,21290.0,129.064,20763905,25.15648126602173
6,0.0,86.9,0.0,21290.0,128.274,20890021,25.034324645996094
7,0.0,86.3,0.0,21290.0,129.042,21017994,25.447718858718872
8,0.0,86.4,0.0,21290.0,113.263,21139264,25.079559564590454
9,0.0,86.6,0.0,21290.0,129.779,21262688,25.15307092666626
10,0.0,86.7,0.0,21290.0,128.246,21400053,25.19737482070923
11,0.0,86.8,0.0,21290.0,130.012,21523556,24.940365076065063
12,0.0,87.4,0.0,21290.0,128.727,21644096,24.989306449890137
13,0.2,87.4,0.0,21290.0,130.768,21764896,24.98527431488037
14,0.2,87.5,0.0,21290.0,129.32,21885988,24.83809804916382
15,0.0,87.6,0.0,21290.0,114.337,22012330,25.15123152732849
16,0.0,87.7,0.0,21290.0,130.353,22134740,24.990089178085327
17,0.0,87.8,0.0,21290.0,129.478,22256564,24.897880792617798
18,0.0,87.9,0.0,21290.0,129.822,22378682,25.329839944839478
19,0.0,87.0,0.0,21290.0,129.942,22504187,25.10360550880432
20,0.0,87.2,0.0,21290.0,129.97,22632949,25.000483989715576
21,0.0,87.3,0.0,21290.0,130.433,22764251,25.106223583221436
22,0.2,87.4,0.0,21290.0,130.219,22887167,25.01826500892639
23,0.0,87.4,0.0,21290.0,130.144,23010294,25.172726154327393
24,0.0,87.5,0.0,21290.0,130.257,23130956,25.12254786491394
25,0.0,87.6,0.0,21290.0,130.71,23261893,24.907108783721924
26,0.0,87.7,0.0,21290.0,131.733,23390444,24.924317598342896
27,0.0,87.8,0.0,21290.0,130.88,23518579,25.169247150421143
28,0.0,88.0,0.0,21290.0,132.79899999999998,23640929,24.950165033340454
29,0.2,88.0,0.0,21290.0,130.624,23761880,24.946731567382812
30,0.2,88.2,0.0,21290.0,131.594,23886956,25.106261730194092
