Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,61.5,0.0,21276.0,109.12199999999999,8831884,82.04985690116882
2,0.0,61.0,0.0,21276.0,130.777,8953040,25.435177087783813
3,0.0,61.1,0.0,21276.0,115.049,9078131,25.502220153808594
4,0.0,61.3,0.0,21276.0,131.052,9200736,25.310583114624023
5,0.0,61.4,0.0,21276.0,130.768,9322094,25.412192344665527
6,0.2,61.4,0.0,21276.0,131.438,9443450,25.320773601531982
7,0.0,61.4,0.0,21276.0,116.086,9566784,25.364636421203613
8,0.0,61.5,0.0,21276.0,131.99599999999998,9688479,25.37991690635681
9,0.0,61.6,0.0,21276.0,132.959,9837294,25.59253716468811
10,0.0,61.7,0.0,21276.0,132.086,9961490,25.444674253463745
