Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,95.7,0.0,21306.0,125.772,28567256,73.0547707080841
2,0.0,95.3,0.0,21306.0,134.694,28628993,13.542824268341064
3,0.2,95.6,0.0,21306.0,132.527,28690147,13.974347114562988
4,0.0,95.9,0.0,21306.0,131.981,28751121,14.180325508117676
5,0.0,96.1,0.0,21306.0,134.65,28812075,14.13450574874878
6,0.0,96.3,0.0,21306.0,136.242,28872879,13.881930112838745
7,0.0,96.5,0.0,21306.0,133.413,28935337,13.57487416267395
8,0.0,96.6,0.0,21306.0,131.615,28996705,13.932617664337158
9,0.0,96.8,0.0,21306.0,133.252,29057989,13.928037643432617
10,0.0,96.9,0.0,21306.0,136.3,29119781,13.591823816299438
11,0.0,97.2,0.0,21306.0,138.40699999999998,29181521,13.480637550354004
12,0.0,97.3,0.0,21306.0,136.303,29242407,13.470114707946777
13,0.0,97.4,0.0,21306.0,134.505,29302333,13.58176064491272
14,0.2,95.9,0.0,21306.0,137.415,29363145,13.754302978515625
15,0.0,96.2,0.0,21306.0,137.451,29424969,13.641384601593018
16,0.0,96.3,0.0,21306.0,136.979,29498432,13.691389799118042
17,0.0,96.5,0.0,21306.0,136.37,29581420,13.467721223831177
18,0.2,96.7,0.0,21306.0,136.368,29643147,13.846447944641113
19,0.0,96.9,0.0,21306.0,137.798,29703903,13.631599426269531
20,0.0,97.0,0.0,21306.0,139.67,29765295,14.122799396514893
