Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,93.0,0.0,21302.0,128.22,27899206,73.5455412864685
2,0.0,93.1,0.0,21302.0,131.64,27966321,13.561492443084717
3,0.0,93.4,0.0,21302.0,135.026,28027403,13.460299968719482
4,0.0,93.5,0.0,21302.0,135.49900000000002,28088405,13.577349662780762
5,0.0,93.1,0.0,21302.0,135.73399999999998,28150037,13.536819219589233
6,0.0,93.4,0.0,21302.0,131.896,28210975,13.481176137924194
7,0.0,93.6,0.0,21302.0,135.311,28271606,13.447756052017212
8,0.0,93.8,0.0,21302.0,132.729,28332608,13.3265962600708
9,0.0,94.0,0.0,21302.0,131.91,28396529,13.773296356201172
10,0.0,94.1,0.0,21302.0,132.78300000000002,28467313,13.71315622329712
