Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,50.1,0.0,21272.0,108.36500000000001,2258696,81.29969096183777
2,0.0,49.5,0.0,21272.0,128.366,2380241,25.031933069229126
3,0.2,49.6,0.0,21272.0,129.237,2501955,25.35554838180542
4,0.0,49.6,0.0,21272.0,129.466,2623802,24.883368968963623
5,0.0,49.7,0.0,21272.0,130.525,2744268,24.876945972442627
6,0.2,49.9,0.0,21272.0,129.778,2865808,24.834381103515625
7,0.2,50.0,0.0,21272.0,116.21799999999999,2987187,25.139355182647705
8,0.0,50.1,0.0,21272.0,132.799,3109634,25.054086446762085
9,0.0,50.2,0.0,21272.0,133.498,3230578,25.156121969223022
10,0.0,50.2,0.0,21272.0,132.997,3353796,25.33235478401184
11,0.0,50.3,0.0,21272.0,131.793,3481001,24.969248294830322
12,0.0,50.4,0.0,21272.0,132.101,3604948,25.369221687316895
13,0.2,50.0,0.0,21272.0,115.946,3726880,25.41240620613098
14,0.0,50.1,0.0,21272.0,131.951,3849232,25.543325185775757
15,0.0,50.2,0.0,21272.0,131.807,3971272,24.96438217163086
16,0.0,50.3,0.0,21272.0,132.527,4099549,25.05442714691162
17,0.0,50.4,0.0,21272.0,132.971,4226042,25.3443443775177
18,0.0,50.5,0.0,21272.0,115.858,4358351,25.344090938568115
19,0.0,50.6,0.0,21272.0,132.125,4485773,25.071027994155884
20,0.0,50.7,0.0,21272.0,132.722,4607732,25.08765721321106
