Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,94.0,0.0,21296.0,116.75999999999999,24640591,73.32498288154602
2,0.0,93.6,0.0,21296.0,133.7,24702723,13.799702882766724
3,0.0,93.8,0.0,21296.0,133.409,24764802,13.5794517993927
4,0.0,93.9,0.0,21296.0,133.16,24829502,13.71760606765747
5,0.0,93.4,0.0,21296.0,130.095,24890441,13.595638513565063
6,0.0,93.7,0.0,21296.0,133.87,24951657,13.587061882019043
7,0.0,93.9,0.0,21296.0,134.655,25013253,13.425745964050293
8,0.0,94.1,0.0,21296.0,133.938,25072815,13.614213943481445
9,0.0,94.4,0.0,21296.0,132.037,25134051,13.729493141174316
10,0.0,94.5,0.0,21296.0,132.437,25195579,13.923715114593506
11,0.0,94.7,0.0,21296.0,133.12900000000002,25258134,14.013166427612305
12,0.0,94.0,0.0,21296.0,135.899,25319116,13.769020318984985
13,0.0,94.2,0.0,21296.0,134.867,25379926,13.660505533218384
14,0.0,94.4,0.0,21296.0,134.934,25463991,13.585689067840576
15,0.0,94.7,0.0,21296.0,131.923,25530699,13.60293459892273
16,0.0,92.8,0.0,21296.0,134.242,25591023,13.62962031364441
17,0.0,93.1,0.0,21296.0,135.688,25661090,13.678902864456177
18,0.0,93.2,0.0,21296.0,135.258,25740117,13.568800687789917
19,0.0,93.4,0.0,21296.0,135.524,25806531,13.58745288848877
20,0.2,93.6,0.0,21296.0,134.209,25867791,13.885470628738403
