Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.1,22.2,0.0,21314.0,130.899,202228951,70.62863159179688
2,0.0,22.0,0.0,21314.0,135.671,202290345,14.602470874786377
3,0.0,21.9,0.0,21314.0,137.06,202349259,14.471547842025757
4,0.0,21.9,0.0,21314.0,136.243,202408315,14.486888885498047
5,0.0,22.0,0.0,21314.0,137.296,202469038,14.515665531158447
6,0.0,22.1,0.0,21314.0,138.825,202528100,14.581146955490112
7,0.0,22.1,0.0,21314.0,135.749,202593078,14.583808898925781
8,0.1,21.9,0.0,21314.0,138.65,202652500,14.486101150512695
9,0.0,22.0,0.0,21314.0,137.123,202711479,14.53776741027832
10,0.0,22.0,0.0,21314.0,138.358,202772969,14.492659091949463
11,0.1,22.1,0.0,21314.0,137.891,202833177,14.530115127563477
12,0.0,22.1,0.0,21314.0,135.803,202893082,14.431984901428223
13,0.1,22.1,0.0,21314.0,140.38400000000001,202951842,14.457229852676392
14,0.0,22.1,0.0,21314.0,137.837,203014664,14.62365174293518
15,0.0,22.2,0.0,21314.0,141.096,203073586,14.687853813171387
16,0.0,22.2,0.0,21314.0,136.93,203132134,14.38013219833374
17,0.0,22.2,0.0,21314.0,141.15300000000002,203190916,14.72825312614441
18,0.0,22.2,0.0,21314.0,140.048,203261238,14.691385269165039
19,0.0,22.3,0.0,21314.0,139.448,203320534,14.500601530075073
20,0.0,22.3,0.0,21314.0,142.294,203382732,14.795772552490234
