Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,57.1,0.0,21368.0,133.285,219212917,78.46886539459229
2,0.0,57.3,0.0,21368.0,145.849,219228787,4.840502738952637
3,0.0,57.4,0.0,21368.0,147.704,219244675,4.853953838348389
4,0.0,57.5,0.0,21368.0,147.289,219260765,4.86838960647583
5,0.0,57.5,0.0,21368.0,146.913,219276801,4.898888826370239
6,0.0,57.5,0.0,21368.0,147.152,219292643,4.875751256942749
7,0.1,56.6,0.0,21368.0,147.543,219308733,4.970273017883301
8,0.0,56.9,0.0,21368.0,148.821,219324429,4.828460454940796
9,0.0,57.0,0.0,21368.0,148.227,219340335,4.843636989593506
10,0.0,57.1,0.0,21368.0,148.944,219356361,4.868546962738037
11,0.0,57.1,0.0,21368.0,148.57999999999998,219372005,4.828873634338379
12,0.0,57.3,0.0,21368.0,149.49099999999999,219387807,4.922020196914673
13,0.0,57.4,0.0,21368.0,147.002,219403805,4.847811698913574
14,0.1,57.4,0.0,21368.0,149.727,219419895,4.877611398696899
15,0.1,57.6,0.0,21368.0,150.124,219436331,4.8403160572052
16,0.0,57.6,0.0,21368.0,149.33100000000002,219453123,4.789759159088135
17,0.0,57.7,0.0,21368.0,147.611,219471749,4.839727878570557
18,0.0,57.7,0.0,21368.0,148.184,219488085,4.772078037261963
19,0.2,57.8,0.0,21368.0,149.753,219505285,4.970038175582886
20,0.0,56.6,0.0,21368.0,148.643,219521845,4.8298516273498535
21,0.1,56.8,0.0,21368.0,148.71699999999998,219539667,4.8655617237091064
22,0.0,57.1,0.0,21368.0,148.412,219555363,4.820690393447876
23,0.0,57.0,0.0,21368.0,149.292,219571423,4.875435829162598
24,0.1,57.2,0.0,21368.0,149.481,219587345,4.787219285964966
25,0.0,57.3,0.0,21368.0,150.32299999999998,219603261,4.768740177154541
26,0.0,57.4,0.0,21368.0,150.259,219619762,4.7422637939453125
27,0.1,57.4,0.0,21368.0,149.149,219636880,4.980447769165039
28,0.0,57.5,0.0,21368.0,149.231,219653252,4.771074295043945
29,0.0,57.6,0.0,21368.0,150.401,219669126,4.798900842666626
30,0.0,57.7,0.0,21368.0,149.849,219685020,4.796806812286377
