Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,39.1,0.0,21340.0,131.156,213026633,65.29373502731323
2,0.0,39.1,0.0,21340.0,146.279,213056754,8.05768632888794
3,0.1,39.1,0.0,21340.0,144.69,213087974,8.167687892913818
4,0.0,39.0,0.0,21340.0,144.106,213122146,8.127135038375854
5,0.0,39.1,0.0,21340.0,144.672,213152548,8.114472150802612
6,0.0,39.1,0.0,21340.0,145.666,213182352,8.143677949905396
7,0.0,39.1,0.0,21340.0,144.68900000000002,213212806,8.018918752670288
8,0.1,39.1,0.0,21340.0,145.077,213242364,8.198699235916138
9,0.1,39.2,0.0,21340.0,145.417,213272254,8.093945980072021
10,0.1,39.2,0.0,21340.0,146.555,213302196,8.07937741279602
11,0.1,39.2,0.0,21340.0,145.43,213332420,8.072169542312622
12,0.1,39.2,0.0,21340.0,146.254,213362604,8.157840967178345
13,0.0,38.6,0.0,21340.0,145.321,213393346,8.268402338027954
14,0.0,38.8,0.0,21340.0,146.018,213423150,8.176344156265259
15,0.1,38.9,0.0,21340.0,147.44,213453224,8.129661083221436
16,0.0,38.9,0.0,21340.0,147.077,213482868,8.106942653656006
17,0.0,39.0,0.0,21340.0,146.173,213518526,7.99044132232666
18,0.0,39.1,0.0,21340.0,145.582,213554007,8.219371557235718
19,0.0,39.1,0.0,21340.0,146.99599999999998,213584613,8.189116477966309
20,0.0,39.2,0.0,21340.0,146.39,213614807,8.168329000473022
