Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,40.8,0.0,21342.0,131.98,213684318,63.74154734611511
2,0.0,40.8,0.0,21342.0,143.66199999999998,213721100,8.021332263946533
3,0.0,40.5,0.0,21342.0,144.433,213753452,8.208268642425537
4,0.0,40.5,0.0,21342.0,145.479,213784275,8.142069339752197
5,0.1,40.7,0.0,21342.0,145.303,213814331,8.40731430053711
6,0.0,40.7,0.0,21342.0,145.679,213844465,8.034246683120728
7,0.0,40.9,0.0,21342.0,144.706,213877965,8.057554244995117
8,0.1,40.9,0.0,21342.0,145.856,213908699,8.267377853393555
9,0.0,40.9,0.0,21342.0,146.399,213938981,8.049442052841187
10,0.0,40.9,0.0,21342.0,146.474,213969499,8.30509901046753
11,0.0,41.0,0.0,21342.0,146.459,214000017,8.18089747428894
12,0.0,41.0,0.0,21342.0,146.297,214029795,8.114002704620361
13,0.0,41.0,0.0,21342.0,144.817,214060019,8.128182888031006
14,0.0,41.0,0.0,21342.0,146.776,214090539,8.054661512374878
15,0.0,41.1,0.0,21342.0,147.716,214120947,8.2517569065094
16,0.0,40.5,0.0,21342.0,145.164,214151335,8.36089825630188
17,0.0,40.8,0.0,21342.0,147.206,214181307,8.150623321533203
18,0.0,40.9,0.0,21342.0,146.723,214210951,7.969058990478516
19,0.0,40.9,0.0,21342.0,146.92000000000002,214241232,8.185983180999756
20,0.0,41.0,0.0,21342.0,147.72,214271042,8.04124116897583
21,0.0,41.0,0.0,21342.0,147.871,214301314,8.024856328964233
22,0.1,41.1,0.0,21342.0,147.89000000000001,214331602,8.133435487747192
23,0.1,41.1,0.0,21342.0,147.584,214361712,8.17636251449585
24,0.0,41.2,0.0,21342.0,147.67000000000002,214392038,8.090011596679688
25,0.0,41.2,0.0,21342.0,149.316,214422062,8.074305057525635
26,0.0,41.2,0.0,21342.0,146.924,214452486,8.28158974647522
27,0.0,41.3,0.0,21342.0,147.722,214482542,8.067537307739258
28,0.0,40.7,0.0,21342.0,146.72199999999998,214512492,8.036961555480957
29,0.9,40.9,0.0,21342.0,147.147,214543326,8.127970933914185
30,0.0,41.0,0.0,21342.0,147.735,214576222,8.278371334075928
