Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,46.4,0.0,21350.0,130.79899999999998,215676359,67.39278841018677
2,0.0,46.2,0.0,21350.0,145.154,215706547,8.296036958694458
3,0.0,46.3,0.0,21350.0,144.058,215736603,8.300026893615723
4,0.0,46.3,0.0,21350.0,144.075,215767695,8.265399932861328
5,0.0,46.3,0.0,21350.0,145.66,215798019,8.148073673248291
6,0.1,46.2,0.0,21350.0,146.79,215829067,7.98178768157959
7,0.0,46.3,0.0,21350.0,146.586,215858871,8.084316730499268
8,0.1,46.4,0.0,21350.0,145.43599999999998,215888675,8.098507642745972
9,0.0,46.4,0.0,21350.0,144.638,215919947,8.216103553771973
10,0.0,46.3,0.0,21350.0,145.965,215950791,8.15109920501709
11,0.0,46.4,0.0,21350.0,145.565,215981999,8.158105850219727
12,0.0,46.4,0.0,21350.0,146.70600000000002,216011895,8.12525725364685
13,0.0,45.9,0.0,21350.0,144.84199999999998,216042595,8.2135329246521
14,0.0,46.1,0.0,21350.0,144.107,216072153,8.09580135345459
15,0.0,46.1,0.0,21350.0,146.077,216101957,8.122217416763306
16,0.0,46.2,0.0,21350.0,146.758,216132743,8.12046194076538
17,0.0,46.3,0.0,21350.0,145.941,216162301,8.13169550895691
18,0.0,46.4,0.0,21350.0,146.07600000000002,216193661,8.082189559936523
19,0.0,46.4,0.0,21350.0,146.361,216224403,8.193227052688599
20,0.0,46.4,0.0,21350.0,147.449,216255973,8.120351552963257
21,0.1,46.5,0.0,21350.0,146.231,216287839,8.06923246383667
22,0.0,46.5,0.0,21350.0,145.928,216317535,8.052797555923462
23,0.0,46.6,0.0,21350.0,146.312,216347816,8.343397855758667
24,0.0,46.6,0.0,21350.0,145.31900000000002,216378351,8.121113061904907
25,0.0,46.6,0.0,21350.0,146.659,216408161,8.007893562316895
26,0.1,46.1,0.0,21350.0,146.515,216438903,8.194329261779785
27,0.0,46.2,0.0,21350.0,147.051,216469427,8.260035514831543
28,0.1,46.3,0.0,21350.0,146.81099999999998,216498985,8.170547246932983
29,0.1,46.4,0.0,21350.0,145.71300000000002,216529133,8.144299030303955
30,0.0,46.4,0.0,21350.0,147.13400000000001,216559955,8.093465805053711
