Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,66.5,0.0,21382.0,133.108,3421551153,64.47110104560852
2,0.0,66.5,0.0,21382.0,145.37800000000001,3421567279,4.828901290893555
3,0.0,66.7,0.0,21382.0,145.622,3421582811,4.758535623550415
4,0.0,66.7,0.0,21382.0,145.818,3421598821,4.835907220840454
5,0.0,66.7,0.0,21382.0,147.26500000000001,3421615099,4.813476324081421
6,0.0,66.7,0.0,21382.0,146.81,3421631085,4.969218015670776
7,0.0,66.7,0.0,21382.0,147.373,3421647007,4.874117136001587
8,0.0,66.7,0.0,21382.0,146.46,3421662871,4.857127666473389
9,0.0,66.7,0.0,21382.0,147.796,3421679194,4.8389623165130615
10,0.0,66.8,0.0,21382.0,147.02,3421695288,4.84486722946167
11,0.0,65.7,0.0,21382.0,147.119,3421710984,4.935941457748413
12,0.0,65.9,0.0,21382.0,148.296,3421727950,4.8272013664245605
13,0.0,65.9,0.0,21382.0,148.312,3421744447,4.835623025894165
14,0.0,66.2,0.0,21382.0,148.75,3421760849,4.809208393096924
15,0.0,66.5,0.0,21382.0,150.079,3421777495,4.808248043060303
16,0.0,66.5,0.0,21382.0,147.958,3421792977,4.743101119995117
17,0.0,66.5,0.0,21382.0,148.292,3421809467,4.830777168273926
18,0.1,66.6,0.0,21382.0,149.035,3421825265,4.790533065795898
19,0.0,66.6,0.0,21382.0,148.604,3421841187,4.872006893157959
20,0.0,66.7,0.0,21382.0,148.864,3421856841,4.850864887237549
