Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,59.4,0.0,21370.0,133.497,219755864,64.6993956565857
2,0.2,59.4,0.0,21370.0,147.70600000000002,219776986,4.886315822601318
3,0.0,59.3,0.0,21370.0,148.065,219795920,4.901766061782837
4,1.6,59.5,0.0,21370.0,147.527,457227012,4.9559032917022705
5,4.3,59.9,0.0,21370.0,146.66,976274190,5.027359247207642
6,0.0,59.8,0.0,21370.0,148.531,1363297350,5.035764932632446
7,0.1,59.7,0.0,21370.0,147.85999999999999,1375715873,4.853393793106079
8,2.1,60.1,0.0,21370.0,147.538,1698919921,5.042646408081055
9,3.4,60.5,0.0,21370.0,147.385,2187845299,5.060234069824219
10,0.8,61.0,0.0,21370.0,148.782,2660857833,5.038971900939941
