Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,55.6,0.0,21364.0,134.475,218810861,63.929545164108276
2,0.4,55.7,0.0,21364.0,148.67,218826997,4.89364767074585
3,3.2,55.9,0.0,21364.0,147.832,218847352,4.849750757217407
4,2.1,55.1,0.0,21364.0,147.832,218866022,4.880487680435181
5,1.1,55.2,0.0,21364.0,146.993,218883328,4.851926565170288
6,0.6,55.2,0.0,21364.0,147.47,218900104,4.903608560562134
7,0.1,55.3,0.0,21364.0,147.757,218917176,4.9286253452301025
8,3.5,55.3,0.0,21364.0,148.377,218933912,4.833705902099609
9,0.0,55.3,0.0,21364.0,148.327,218950142,4.876452922821045
10,0.0,55.4,0.0,21364.0,148.385,218966648,4.901850938796997
11,0.0,55.5,0.0,21364.0,148.514,218982404,4.880931377410889
12,2.0,55.4,0.0,21364.0,148.831,218998971,4.894329786300659
13,0.7,55.5,0.0,21364.0,149.06900000000002,219014711,4.830209732055664
14,0.7,55.6,0.0,21364.0,147.84799999999998,219035162,4.96196436882019
15,0.2,55.7,0.0,21364.0,147.519,219054644,4.947767734527588
16,0.1,55.7,0.0,21364.0,149.21699999999998,219070538,4.938060522079468
17,0.0,54.8,0.0,21364.0,147.635,219086948,4.934249401092529
18,0.0,55.0,0.0,21364.0,147.585,219103442,4.9850640296936035
19,0.0,55.3,0.0,21364.0,149.288,219119382,4.8268914222717285
20,0.1,55.5,0.0,21364.0,147.663,219135680,4.942612171173096
